2026-06-09 22:53:04 | WARNING  | ingestion.scrapers.base_scraper:fetch | [mubawab] 404: https://www.mubawab.ma/fr/ct/fes/immobilier-a-vendre
2026-06-09 22:53:04 | SUCCESS  | ingestion.scrapers.base_scraper:run | [mubawab][fes] total: 0
2026-06-09 22:53:04 | SUCCESS  | ingestion.pipeline:run_ingestion | [fes] 0 found → 0 new
2026-06-09 22:53:04 | INFO     | ingestion.pipeline:run_ingestion | ╔══════════════════════════════════════════╗
2026-06-09 22:53:04 | INFO     | ingestion.pipeline:run_ingestion | ║  INGESTION COMPLETE                      ║
2026-06-09 22:53:04 | INFO     | ingestion.pipeline:run_ingestion | ║  Total inserted : 3872                  ║
2026-06-09 22:53:04 | INFO     | ingestion.pipeline:run_ingestion | ║  Time elapsed   : 550s                  ║
2026-06-09 22:53:04 | INFO     | ingestion.pipeline:run_ingestion | ╚══════════════════════════════════════════╝
2026-06-09 22:59:38 | INFO     | processing.cleaner:run_cleaning | === Phase 5: Data Cleaning Pipeline ===
2026-06-09 22:59:39 | INFO     | processing.cleaner:load_raw | [cleaner] Loaded 3872 new raw rows
2026-06-09 22:59:39 | INFO     | processing.cleaner:remove_duplicates | [cleaner] Dedup: 3872 → 3872
2026-06-09 22:59:39 | INFO     | processing.cleaner:filter_outliers | [cleaner] Outlier filter: 3872 → 3282 with valid price
2026-06-09 22:59:39 | INFO     | processing.cleaner:run_cleaning | [cleaner] Valid records: 3282 / 3872
2026-06-09 22:59:40 | SUCCESS  | processing.cleaner:run_cleaning | [cleaner] Saved 3282 records → /Users/taha/Downloads/rppi_maroc/data/clean/clean_20260609_2159.csv
2026-06-09 23:00:32 | INFO     | processing.cleaner:run_cleaning | === Phase 5: Data Cleaning Pipeline ===
2026-06-09 23:00:32 | INFO     | processing.cleaner:load_raw | [cleaner] Loaded 590 new raw rows
2026-06-09 23:00:32 | INFO     | processing.cleaner:remove_duplicates | [cleaner] Dedup: 590 → 590
2026-06-09 23:00:32 | INFO     | processing.cleaner:filter_outliers | [cleaner] Outlier filter: 590 → 312 with valid price
2026-06-09 23:00:32 | INFO     | processing.cleaner:run_cleaning | [cleaner] Valid records: 312 / 590
2026-06-09 23:00:32 | SUCCESS  | processing.cleaner:run_cleaning | [cleaner] Saved 312 records → /Users/taha/Downloads/rppi_maroc/data/clean/clean_20260609_2200.csv
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | === Phase 7-8-9: Hedonic Model (location) ===
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:load_data | [hedonic] Loaded 1306 records for transaction=location
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | [hedonic] Design matrix: 1306 obs × 15 variables
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Model diagnostics:
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     R²           : 0.5566
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     Adj. R²      : 0.5521
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     F-statistic  : 57852.41 (p=0.0000)
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     N obs        : 1306
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     AIC          : 1511.36
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     BIC          : 1583.81
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Key structural coefficients (semi-log interpretation):
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     surface             : β=0.0004 → +0.0% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     rooms               : β=0.0863 → +9.0% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     const               : β=4.5241 → +9121.4% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Price Index (location, base=2024-Q1=100):
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   Period          Index           CI 95%        γ    p-val
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   -------------------------------------------------------
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   2024-Q1        100.00   [100.0–100.0]   0.0000  1.0000 
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   2026-Q2       9221.42   [8894.4–9560.4]   4.5241  0.0000 ***
2026-06-09 23:07:18 | SUCCESS  | analytics.hedonic.model:run_hedonic | [hedonic] RPPI saved → /Users/taha/Downloads/rppi_maroc/data/exports/rppi_location_20260609.csv
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | === Phase 7-8-9: Hedonic Model (vente) ===
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:load_data | [hedonic] Loaded 1012 records for transaction=vente
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | [hedonic] Design matrix: 1012 obs × 15 variables
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Model diagnostics:
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     R²           : 0.7297
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     Adj. R²      : 0.7262
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     F-statistic  : 83980.53 (p=0.0000)
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     N obs        : 1012
